k,GMM,Kmeans
2,0.2952927992584199,0.30603023894636344
3,0.2909531220186162,0.3114244888948239
4,0.2759120684188463,0.327255352708429
5,0.3037243515605712,0.32066881719914697
6,0.31449154372931726,0.3150826651300717
7,0.26607275257791213,0.2859755342979119
8,0.25897321907086024,0.2831487406495264
9,0.24566545552645236,0.2653140984087943
10,0.2533860966106025,0.2651813278273821
15,0.23222843199308438,0.2616421310373335
20,0.15391824062978623,0.2601536813188473
25,0.1841460013799618,0.26260679908013657
30,0.16620919025207723,0.2601635136496468
